nodeid,OutAmount,OutValue,OutTransFee,InAmount,InValue,InTransFee,nodelabel
0,7217724.0,712324959.591,21609773.156,2410795.0,20296148.735,4879685.168,0.0
1,0.0,0.0,0.0,140.0,0.0,264.184,0.0
2,12.0,0.0,28.42,47223.0,103678.274,182144.848,0.0
3,141.0,1391.93,674.27,100.0,2838.214,514.994,0.0
4,1.0,88.72,10.66,65.0,1043.94,193.33,0.0
5,10.0,4226.546,93.8,27.0,2072.98,245.657,0.0
6,21.0,9179.224,201.09,105.0,12420.545,310.263,0.0
7,0.0,0.0,0.0,2024.0,0.0,8385.37,0.0
8,36519.0,0.0,4868.818,12150.0,0.0,1480.313,0.0
9,33.0,137.21,384.59,38.0,2656.56,462.97,0.0
10,51.0,19020.895,963.768,53.0,12088.16,521.259,0.0
11,57.0,12810.499,344.778,281.0,17068.44,648.099,0.0
12,67.0,5286.11,690.4,85.0,12383.935,856.252,0.0
13,85.0,20872.47,644.76,28.0,5593.57,324.94,0.0
14,98.0,2595.574,532.774,90.0,4159.89,270.476,0.0
15,98.0,36206.75,1727.64,178.0,0.0,550.25,0.0
16,34.0,6721.787,516.993,42.0,2024.875,416.643,0.0
17,0.0,0.0,0.0,93.0,17818.44,768.76,0.0
18,14.0,0.0,29.2,126.0,11125.32,730.302,0.0
19,202.0,0.0,16.37,1.0,0.0,3.92,0.0
20,0.0,0.0,0.0,876.0,0.0,1215.732,0.0
21,22.0,1790.514,180.948,46.0,3659.52,252.254,0.0
22,15.0,4763.94,96.46,27.0,3676.76,192.818,0.0
23,27.0,12139.09,479.723,335.0,5174.05,419.469,0.0
24,35.0,24895.22,319.115,30.0,3130.51,87.201,0.0
25,15.0,5981.07,323.58,16.0,6117.41,306.93,0.0
26,93.0,860.1,945.49,5.0,254.36,76.86,0.0
27,28.0,0.0,236.966,445.0,172006.325,5859.139,0.0
28,54.0,6631.13,589.05,19.0,1934.17,183.763,0.0
29,59.0,8231.305,369.412,70.0,12016.741,435.721,0.0
30,46.0,157830.3,999.07,59.0,214112.609,861.745,0.0
31,127.0,0.0,242.13,37.0,0.0,13.78,0.0
32,30.0,14722.197,610.757,27.0,10794.87,1017.188,0.0
33,33.0,24152.48,473.48,12.0,0.0,253.98,0.0
34,16.0,3870.535,263.9,33.0,14339.995,309.909,0.0
35,76.0,10793.126,296.926,9.0,2352.2,102.69,0.0
36,375.0,56662.76,9751.715,111.0,5511.75,1153.19,0.0
37,46.0,16028.15,563.24,333.0,36157.63,1272.453,0.0
38,164.0,0.0,12.16,1.0,0.0,6.86,0.0
39,52.0,11090.302,1166.228,51.0,2657.838,1190.351,0.0
40,15.0,9600.176,192.462,36.0,16074.013,546.292,0.0
41,29.0,2606.41,521.235,33.0,4503.72,632.702,0.0
42,14.0,3372.49,91.928,42.0,2716.695,351.099,0.0
43,32.0,3585.72,700.14,31.0,5245.22,388.698,0.0
44,119.0,4865.38,792.588,196.0,1655.43,350.903,0.0
45,49.0,4977.02,990.865,96.0,5970.325,2162.487,0.0
46,24.0,17637.112,321.436,52.0,26805.785,457.012,0.0
47,55.0,57476.31,957.5,55.0,0.0,962.23,0.0
48,50.0,65544.36,689.555,194.0,263127.093,1963.948,0.0
49,25.0,7527.333,218.387,31.0,7236.09,300.476,0.0
50,83.0,27758.49,786.313,92.0,19870.483,642.749,0.0
51,18.0,494.271,156.839,18.0,0.0,41.73,0.0
52,24.0,3619.04,315.4,24.0,0.0,265.03,0.0
53,248.0,0.0,665.101,290.0,0.0,404.006,0.0
54,239.0,60173.4,5086.86,15.0,0.0,4.67,0.0
55,13.0,2198.77,96.22,41.0,6587.47,439.343,0.0
56,38.0,0.0,345.42,96.0,7860.255,479.423,0.0
57,87.0,16174.59,1336.993,498.0,148296.18,2320.474,0.0
58,164.0,0.0,11.49,1.0,0.0,5.21,0.0
59,48.0,37323.37,782.055,45.0,9510.635,442.387,0.0
60,211.0,0.0,22.08,1.0,0.0,5.26,0.0
61,3.0,0.0,62.5,50.0,1553.374,265.561,0.0
62,87.0,75183.27,1045.78,111.0,55440.16,994.295,0.0
63,19.0,4871.475,335.645,38.0,2413.195,463.608,0.0
64,34.0,6658.66,373.11,43.0,3113.894,384.493,0.0
65,43.0,6483.915,642.12,45.0,4421.055,656.229,0.0
66,34.0,14638.31,764.49,64.0,14015.62,782.677,0.0
67,48.0,3134.47,817.325,46.0,4367.016,1603.957,0.0
68,21.0,0.0,81.16,73.0,59154.86,652.367,0.0
69,44.0,7928.372,491.186,54.0,4428.23,391.534,0.0
70,6.0,2143.43,138.97,51.0,34676.6,861.896,0.0
71,29.0,11539.162,398.596,61.0,22206.114,774.931,0.0
72,132.0,19725.02,429.65,20.0,9240.24,320.608,0.0
73,19.0,28482.98,267.405,34.0,21611.964,438.134,0.0
74,1384.0,0.0,3017.46,8697.0,0.0,31661.8,0.0
75,32.0,16630.64,189.03,51.0,16323.58,465.941,0.0
76,337.0,1116.07,4724.455,218.0,3777.622,479.704,0.0
77,25.0,10828.11,311.076,30.0,3198.54,161.171,0.0
78,201.0,0.0,12.79,1.0,0.0,4.16,0.0
79,201.0,0.0,15.46,1.0,0.0,2.58,0.0
80,240.0,1797.93,627.56,74.0,27.46,171.55,0.0
81,69.0,43421.28,548.796,96.0,55088.504,879.764,0.0
82,32.0,7028.489,430.815,42.0,9297.787,494.6,0.0
83,290.0,47126.651,2224.09,416.0,40774.12,2756.509,0.0
84,56.0,3287.855,252.193,62.0,11799.23,529.22,0.0
85,15.0,27584.839,185.02,39.0,7721.78,406.108,0.0
86,48.0,30652.076,617.568,64.0,40109.848,699.658,0.0
87,71.0,0.0,154.44,11.0,0.0,33.43,0.0
88,43.0,9937.398,547.775,463.0,13444.665,639.712,0.0
89,12.0,1781.92,80.76,65.0,5991.98,486.776,0.0
90,356.0,9432.415,1042.612,171.0,14259.0,1253.827,0.0
91,72.0,30069.589,1202.209,200.0,35587.607,1278.894,0.0
92,20.0,7947.417,385.96,21.0,6094.37,736.756,0.0
93,15.0,5537.555,208.125,32.0,3314.062,326.378,0.0
94,59.0,27382.502,789.185,74.0,8440.4,798.386,0.0
95,56.0,16136.748,891.592,68.0,18832.39,723.699,0.0
96,22.0,3050.12,269.078,26.0,17508.97,276.743,0.0
97,33.0,567.92,99.961,80.0,5847.449,815.155,0.0
98,25.0,2911.34,399.095,49.0,5222.91,412.573,0.0
99,45.0,5356.347,624.306,98.0,10745.56,623.695,0.0
100,109.0,2971.16,826.468,63.0,16133.36,609.883,0.0
101,31.0,50581.15,568.968,37.0,39498.1,499.499,0.0
102,1112.0,0.0,2382.785,216.0,0.0,1304.57,0.0
103,54.0,799.585,473.64,87.0,2883.622,1298.024,0.0
104,50.0,5979.789,569.394,39.0,849.33,177.38,0.0
105,30.0,7517.932,443.153,23.0,5175.78,493.128,0.0
106,41.0,769.275,51.318,119.0,22065.42,271.985,0.0
107,11.0,7815.1,124.98,41.0,2877.36,409.909,0.0
108,88.0,32320.26,1514.21,71.0,28868.538,558.49,0.0
109,27.0,456.835,462.825,543.0,5210.085,667.544,0.0
110,42.0,15702.915,613.005,63.0,24607.748,760.042,0.0
111,29.0,34988.752,435.617,32.0,14434.2,442.156,0.0
112,25.0,24699.22,485.25,123.0,6956.22,234.949,0.0
113,80.0,5150.71,492.22,108.0,15786.715,893.079,0.0
114,22.0,25225.849,357.559,30.0,8182.34,286.069,0.0
115,556.0,2178.62,1142.17,67.0,1835.69,452.03,0.0
116,110.0,139916.18,2479.52,86.0,239285.38,1548.045,0.0
117,21.0,3032.05,257.945,50.0,1876.014,362.389,0.0
118,46.0,15502.2,474.772,71.0,58004.08,443.812,0.0
119,202.0,0.0,16.62,1.0,0.0,3.98,0.0
120,103.0,558.588,617.042,18.0,0.0,6.12,0.0
121,210.0,0.0,25.4,1.0,0.0,4.96,0.0
122,6.0,0.0,29.61,43.0,23722.91,411.211,0.0
123,34.0,2042.27,463.87,49.0,22.84,283.65,0.0
